borough,neighborhood,post_code
,,
Not assigned,"Not assigned
",M1A
Not assigned,"Not assigned
",M2A
North York,Parkwoods,M3A
North York,Victoria Village,M4A
Downtown Toronto,Harbourfront,M5A
Downtown Toronto,Regent Park,M5A
North York,Lawrence Heights,M6A
North York,Lawrence Manor,M6A
Queen's Park,"Not assigned
",M7A
Not assigned,"Not assigned
",M8A
Etobicoke,Islington Avenue,M9A
Scarborough,Rouge,M1B
Scarborough,Malvern,M1B
Not assigned,"Not assigned
",M2B
North York,"Don Mills North
",M3B
East York,Woodbine Gardens,M4B
East York,Parkview Hill,M4B
Downtown Toronto,"Ryerson
",M5B
Downtown Toronto,"Garden District
",M5B
North York,"Glencairn
",M6B
Not assigned,"Not assigned
",M7B
Not assigned,"Not assigned
",M8B
Etobicoke,"Cloverdale
",M9B
Etobicoke,Islington,M9B
Etobicoke,"Martin Grove
",M9B
Etobicoke,Princess Gardens,M9B
Etobicoke,West Deane Park,M9B
Scarborough,Highland Creek,M1C
Scarborough,Rouge Hill,M1C
Scarborough,Port Union,M1C
Not assigned,"Not assigned
",M2C
North York,Flemingdon Park,M3C
North York,"Don Mills South
",M3C
East York,Woodbine Heights,M4C
Downtown Toronto,St. James Town,M5C
York,Humewood-Cedarvale,M6C
Not assigned,"Not assigned
",M7C
Not assigned,"Not assigned
",M8C
Etobicoke,"Bloordale Gardens
",M9C
Etobicoke,"Eringate
",M9C
Etobicoke,Markland Wood,M9C
Etobicoke,"Old Burnhamthorpe
",M9C
Scarborough,"Guildwood
",M1E
Scarborough,Morningside,M1E
Scarborough,West Hill,M1E
Not assigned,"Not assigned
",M2E
Not assigned,"Not assigned
",M3E
East Toronto,The Beaches,M4E
Downtown Toronto,Berczy Park,M5E
York,"Caledonia-Fairbanks
",M6E
Not assigned,"Not assigned
",M7E
Not assigned,"Not assigned
",M8E
Not assigned,"Not assigned
",M9E
Scarborough,Woburn,M1G
Not assigned,"Not assigned
",M2G
Not assigned,"Not assigned
",M3G
East York,Leaside,M4G
Downtown Toronto,"Central Bay Street
",M5G
Downtown Toronto,"Christie
",M6G
Not assigned,"Not assigned
",M7G
Not assigned,"Not assigned
",M8G
Not assigned,"Not assigned
",M9G
Scarborough,"Cedarbrae
",M1H
North York,Hillcrest Village,M2H
North York,Bathurst Manor,M3H
North York,"Downsview North
",M3H
North York,Wilson Heights,M3H
East York,Thorncliffe Park,M4H
Downtown Toronto,"Adelaide
",M5H
Downtown Toronto,"King
",M5H
Downtown Toronto,"Richmond
",M5H
West Toronto,Dovercourt Village,M6H
West Toronto,"Dufferin
",M6H
Not assigned,"Not assigned
",M7H
Not assigned,"Not assigned
",M8H
Not assigned,"Not assigned
",M9H
Scarborough,Scarborough Village,M1J
North York,"Fairview
",M2J
North York,Henry Farm,M2J
North York,"Oriole
",M2J
